Candidate ID|Edu Level|Specialization|Institute Name|Start Date|End Date|Is Highest Qualification
PH20250610105352679|Bachelor's Degree|Accounting and Finance|3032|2014-10-01|2018-01-15|No
PH20250610105352679|Master's Degree|Marketing Management|3032|2018-09-01|2020-04-30|No
PH20250611100356542|High School Diploma/GED|PCM|3611||1995-08-23|No
PH20250611100356542|High School Diploma/GED||||1995-08-16|No
PH20250611165022972|Master's Degree|Accounting|3032|||No
PH20250611165022972|||3032|||No
PH20250611171832709|High School Diploma/GED|PCM|3032|2014-07-01|2016-03-31|No
PH20250611171832709|||3032|||No
PH20250612125956700|Bachelor's Degree|Mechanical Engineering|3032|||No
PH20250612125956700|Master's Degree|Business Management|3032|||No
PH20250613115633260|Bachelor's Degree|Bachelor of Commerce (B Com)|3032|2019-03-15|2021-03-15|No
PH20250613115633260|||3032|||No
PH20250613121137883|Bachelor's Degree|Bachelor of Business Administration (BBA)|27671|2016-03-01|2019-03-01|No
PH20250613121137883|||3032|||No
PH20250613121137883|||3405|||No
PH20250613160004349|Bachelor's Degree|Electronics Engineering |14373|2014-07-05|2019-05-30|No
PH20250613160004349|High School Diploma/GED|PCM|22626|2012-06-05|2014-04-05|No
PH20250614102729343|Bachelor's Degree|Accounting and Finance|25349|2011-05-02|2014-05-01|No
PH20250614102729343||||||No
PH20250614105824362|Bachelor's Degree|Civil Engineering |19923|||No
PH20250614105824362|||3032|||No
PH20250617112509482|Associate's Degree/College Diploma|Web Designing|21420|2019-01-10|2021-10-06|No
PH20250617112509482|||3032|||No
PH20250617134337485|Master's Degree|Accounting|3192|||No
PH20250617134337485|||3032|||No
PH20250617134337485|||3270|||No
PH20250617142602871|High School Diploma/GED|PCM|4518|2010-06-01|2012-06-30|No
PH20250617142602871|||3032|2005-05-01|2005-05-27|No
PH20250617142602871|||3032|2006-05-01|2007-05-31|No
PH20250617144438646|Bachelor's Degree|Bachelor of Commerce (B Com)|27774|||No
PH20250617144438646|||27774|||No
PH20250617153010625|Bachelor's Degree|History                                                  |3472|2011-06-10|2016-05-09|No
PH20250617153010625|||3032|||No
PH20250617161343163|Bachelor's Degree|Accounting and Finance|4654|2020-06-01|2023-05-31|No
PH20250617161343163|Bachelor's Degree|Accounting and Finance|20274||2023-05-31|No
PH20250617161343163|Bachelor's Degree|Accounting and Finance|24943||2023-05-31|No
PH20250617161343163|High School Diploma/GED|Humanities|20274|2019-06-01|2020-05-31|No
PH20250711140929864|||6280|||No
PH20250617193156111|Bachelor's Degree|Political Science                                 |25192|||No
PH20250617193156111|||3032|||No
PH20250618175832618|Bachelor's Degree|Bachelor of Commerce (B Com)|25809|2019-04-10|2021-04-28|No
PH20250618175832618|||3032|||No
PH20250619112342276|Bachelor's Degree|Political Science                                 |4807|||No
PH20250619112342276||||||No
PH20250619115602073|High School Diploma/GED|10th|3545|2000-07-31|2001-02-04|No
PH20250619115602073|High School Diploma/GED|PCB|3545|1998-03-01|1999-03-09|No
PH20250619140658210|Bachelor's Degree|Bachelor of Commerce (B Com)|28000|2017-12-01|2020-09-01|No
PH20250619140658210|High School Diploma/GED|10th|16663|2012-01-01|2013-04-01|No
PH20250619140658210|High School Diploma/GED|PCM|3539|2014-03-02|2015-05-17|No
PH20250619140658210|||3339|||No
PH20250619140658210|||28000|||No
PH20250619143405065|Bachelor's Degree|Accounting and Finance|3406||2021-04-27|No
PH20250619143405065|Master's Degree|Finance|3650||2023-06-30|No
PH20250619144540184|Bachelor's Degree|Bachelor of Commerce (B Com)|4688|||No
PH20250619144540184|High School Diploma/GED|Humanities|4688|||No
PH20250619144540184|High School Diploma/GED|SSC / 10th Std|4688|||No
PH20250619144540184|||4688|||No
PH20250620140442035|Associate's Degree/College Diploma|Production & Industrial Engineering|3032||2010-03-01|No
PH20250620140442035|||3032||2007-03-01|No
PH20250621125701734|Bachelor's Degree|Accounting and Finance|3633|2021-04-16|2023-07-21|No
PH20250621125701734|High School Diploma/GED|10th|3032||2012-05-03|No
PH20250621125701734|High School Diploma/GED|PCM|3032|2012-02-02|2014-07-10|No
PH20250621132440389|Bachelor's Degree|IT Technologies|3943|||No
PH20250621132440389|||3295|||No
PH20250621154420812|Bachelor's Degree|Mechanical Engineering |27730|||No
PH20250621154420812|||3405|||No
PH20250622191004910|Bachelor's Degree|History                                                  |3032|2001-12-30|2003-03-19|No
PH20250622191004910||||||No
PH20250624135934982|Bachelor's Degree|Information Systems|3032|2020-09-01|2024-07-01|No
PH20250624135934982||||||No
PH20250624140032338|Bachelor's Degree|Computer Science|3032|2011-06-15|2014-04-30|No
PH20250624140032338|High School Diploma/GED|10th|3726|1996-06-01|2008-04-30|No
PH20250624140032338|High School Diploma/GED|PCB|22044|2008-06-06|2010-03-30|No
PH20250624140032338|Master's Degree|Finance|11923|2014-06-10|2016-06-30|No
PH20250624140032338|||3032|||No
PH20250625152022778|Bachelor's Degree|English Literature|4848|2009-07-23|2012-03-09|No
PH20250625152022778|Master's Degree|Marketing|3032|2012-07-17|2014-06-11|No
PH20250626130236314|Master's Degree|Data Analytics |3421|||No
PH20250626130236314|||3032|||No
PH20250626130236314||||||No
PH20250626173018858|Bachelor's Degree|Civil Engineering |20297|||No
PH20250626173018858|Master's Degree|Alternate Hydro Energy systems|3194|||No
PH20250626173018858||||||No
PH20250628110133404|Bachelor's Degree|Physics|3527|2002-03-01|2005-03-31|No
PH20250628110133404|Master's Degree|Retail|3226|2010-11-01|2012-11-30|No
PH20250630121841557|Bachelor's Degree|Bachelor of Commerce (B Com)|3293|2019-06-05|2023-11-01|No
PH20250630121841557|Bachelor's Degree|Bachelor of Commerce (B Com)|21539|2024-07-03|2025-07-16|No
PH20250630121841557|High School Diploma/GED|10th|14264|2008-01-01|2010-08-03|No
PH20250630145843689|Bachelor's Degree|Accounting and Finance|3032||2017-11-23|No
PH20250630145843689|Bachelor's Degree|Accounting and Finance|3032||2020-03-13|No
PH20250630151839994|Associate's Degree/College Diploma|Library and Information Science|3032|||No
PH20250630151839994|Bachelor's Degree|Communication Studies|3032|||No
PH20250630151839994|High School Diploma/GED|Humanities|3032|||No
PH20250702125655473|High School Diploma/GED|10th|3270|2010-04-01|2011-03-01|No
PH20250702125655473|High School Diploma/GED|PCM|3270|2012-07-01|2013-03-01|No
PH20250703143247360|Bachelor's Degree|Economics|4199|2016-09-07|2020-12-30|No
PH20250703143247360|||3032|||No
PH20250704105938112|Bachelor's Degree|BioTechnology|14052|||No
PH20250704105938112||||||No
PH20250704110750794|Bachelor's Degree|Electronics|3032|||No
PH20250704110750794|||3032|||No
PH20250707204112035|Bachelor's Degree|Civil Engineering |3032|2014-08-01|2018-04-01|No
PH20250707204112035|High School Diploma/GED|PCM|11735|2012-06-01|2014-05-01|No
PH20250707204112035|||3032|||No
PH20250708110525006|Bachelor's Degree|Accounting and Finance|3029|2018-06-01|2020-04-30|No
PH20250708110525006|||3029|||No
PH20250708110525006|||14469|||No
PH20250708110525006||||||No
PH20250708170505177|Bachelor's Degree|Accounting and Finance|3026|2011-10-12|2014-10-15|No
PH20250708170505177|Master's Degree|Human Resource|17567|2014-09-17|2016-12-23|No
PH20250708173427153|Bachelor's Degree|Accounting and Finance|27310|2018-06-12|2021-06-23|No
PH20250708173427153|Master's Degree||27310|2021-12-15|2023-10-26|No
PH20250708173427153|||3032|||No
PH20250711153000560|Bachelor's Degree|Bachelor of Commerce (B Com)|3032|||No
PH20250711153000560|High School Diploma/GED|10th|3032|||No
PH20250711153000560|High School Diploma/GED|PCM|3032|||No
PH20250711153000560||||||No
PH20250712192843778|High School Diploma/GED|PCM||2007-01-01|2010-01-01|No
PH20250712192843778|||3032|||No
PH20250712192843778||||||No
PH20250714113251096|High School Diploma/GED|Humanities|3032|||No
PH20250714113251096|||3032|||No
PH20250714113251096|||22044|||No
PH20250714164819030|Bachelor's Degree|Bachelor of Commerce (B Com)|3032|||No
PH20250714164819030|||3032|||No
PH20250714164819030|||3527|||No
PH20250714174950793|High School Diploma/GED|10th|3032|2009-04-01|2010-07-01|No
PH20250714174950793|High School Diploma/GED|Humanities|12258|2010-04-01|2011-07-31|No
PH20250715095447043|High School Diploma/GED|PCM|3032|||No
PH20250715095447043|||3032|||No
PH20250715095447043|||14768|||No
PH20250716170233069|High School Diploma/GED|PCB|3839|2011-06-01|2013-03-31|No
PH20250716170233069|High School Diploma/GED|SSC / 10th Std|3839|2010-06-01|2011-03-31|No
PH20250717201026218|Bachelor's Degree|Bachelor of Business Administration (BBA)|16026|2017-07-01|2020-10-31|No
PH20250717201026218|High School Diploma/GED|10th|3948|2014-07-01|2015-04-30|No
PH20250717201026218|High School Diploma/GED|PCB|3948|2015-07-01|2017-04-30|No
PH20250720213446640|High School Diploma/GED|PCM|3032|2019-03-01|2021-03-31|No
PH20250720213446640||||||No
PH20250721103110218|Bachelor's Degree|Chemistry|16026|2011-07-01|2015-04-30|No
PH20250721103110218|Master's Degree|Mathematics and Computing|4567|2016-07-01|2018-04-30|No
PH20250724002541672|Bachelor's Degree|Bachelor of Commerce (B Com)|3405|2012-03-01|2015-04-30|No
PH20250724002541672|||3652|||No
PH20250729153248294|Bachelor's Degree|Finance|4736|2015-04-01|2018-04-30|No
PH20250729153248294|High School Diploma/GED|Humanities|3032|2012-03-01|2014-03-31|No
PH20250729153248294|High School Diploma/GED|SSC / 10th Std|3032|2011-03-01|2012-03-31|No
PH20250729153248294|Master's Degree|Post Graduate Program in Management (PGP)|3055|2018-03-01|2020-03-31|No
PH20250730091104175|Bachelor's Degree|Bachelor of Commerce (B Com)|4539|2019-07-01|2022-06-01|No
PH20250730091104175|High School Diploma/GED|10th||||No
PH20250730091104175|High School Diploma/GED|Humanities||||No
PH20250731182910361|Bachelor's Degree|History                                                  |14442|||No
PH20250731182910361|High School Diploma/GED|PCM|3032|||No
PH20250731182910361|High School Diploma/GED|SSC / 10th Std|3032|||No
PH20250801170953743|Associate's Degree/College Diploma|Apparel Design||2022-01-01|2023-07-12|No
PH20250801170953743|||3032|2018-01-01|2020-01-01|No
PH20250801170953743|||8546|2019-01-01|2021-01-01|No
PH20250802160909778|Bachelor's Degree|Economics|13577|||No
PH20250802160909778|||3032|||No
PH20250803134913608|Associate's Degree/College Diploma|Production & Industrial Engineering|22130|2009-06-10|2012-05-15|No
PH20250803134913608|High School Diploma/GED|Humanities|3032|2008-06-02|2009-04-10|No
PH20250804170612840|High School Diploma/GED|Humanities|4106|||No
PH20250804170612840|High School Diploma/GED|Humanities|14622|2019-03-01|2020-04-01|No
PH20250811173705474|Bachelor's Degree|Engineering in Electronics and Telecom Engineering |3032|2018-07-01|2022-06-30|No
PH20250811173705474|Master's Degree|Business Analytics|17847|2024-07-01|2025-06-30|No
PH20250813114024480|Associate's Degree/College Diploma|Electronics & Communication Engineering|3032|||No
PH20250813114024480|Bachelor's Degree|Electronics Engineering|3032|||No
PH20250814133806126|Bachelor's Degree|Accounting and Finance|3032|||No
PH20250814133806126|||3032|||No
PH20250815102240450|High School Diploma/GED|Humanities|4834|2018-05-03|2020-06-01|No
PH20250815102240450|||3032||2020-12-31|No
PH20250818134053221|Associate's Degree/College Diploma|Web Designing|3032|||No
PH20250818134053221|High School Diploma/GED|10th|3032|||No
PH20250818134053221|High School Diploma/GED|10th|3784|||No
PH20250818200726897|Master's Degree|Finance|4252|2008-06-01|2010-07-31|No
PH20250818200726897|||3032|||No
PH20250818214345342|Bachelor's Degree|Social Science|3032|||No
PH20250818214345342|||3032|||No
PH20250819145718763|Bachelor's Degree|Pharmaceutics|3032|2008-01-01|2011-01-01|No
PH20250819145718763||||||No
PH20250820123256954|High School Diploma/GED|Humanities|17640|||No
PH20250820123256954|||3032|||No
PH20250820175540739|Bachelor's Degree|Accounting and Finance|3032|||No
PH20250820175540739|||3032|||No
PH20250822041256741|Bachelor's Degree|Chemistry|3633|2011-03-01|2014-06-11|No
PH20250822041256741|High School Diploma/GED|Humanities|23759|||No
PH20250822131234420|Bachelor's Degree|Economics|3495|2013-06-10|2016-05-12|No
PH20250822131234420|Master's Degree|Finance|3495|2016-06-13|2018-06-16|No
PH20250822131234420|||3032|||No
PH20250822133115683|Bachelor's Degree|Economics|3226|||No
PH20250825112102581|Associate's Degree/College Diploma|Financial accounting and reporting|3032|||No
PH20250825112102581|Bachelor's Degree|Bachelor of Commerce (B Com)|3032|||No
PH20250825112102581|Bachelor's Degree|Bachelor of Commerce (B Com)|21791|||No
PH20250825114325407|Bachelor's Degree|Bachelor of Commerce (B Com)|3032|||No
PH20250825114325407|Master's Degree|Marketing Management|3357|||No
PH20250825114325407|||14675|||No
PH20250825124304416|Bachelor's Degree|Bachelor of Commerce (B Com)|22425|2007-06-01|2010-05-19|No
PH20250825124304416||||||No
PH20250825135122733|Bachelor's Degree|Bachelor of Commerce (B Com)|3029|||No
PH20250825135122733|||3032|||No
PH20250825170807033|Bachelor's Degree|Data Science|3527|2003-04-18|2006-03-09|No
PH20250825170807033|Master's Degree|Business Management|3055|2006-03-06|2008-03-05|No
PH20250825170807033|||22132|||No
PH20250825220951273|Associate's Degree/College Diploma|Web Designing|18210|2019-09-07|2023-03-11|No
PH20250825220951273|Master's Degree|Banking and Finance|3032|2025-03-01||No
PH20250826133522361|Bachelor's Degree|Bachelor of Commerce (B Com)|4557|2013-06-30|2016-07-02|No
PH20250826133522361|Master's Degree|Operations|24236|2017-05-31|2018-06-29|No
PH20250826133522361|||3032|||No
PH20250826145026193|Bachelor's Degree||3032|2004-01-01|2006-01-01|No
PH20250826145026193|Master's Degree|Public Administration|3032|2007-01-01|2008-01-01|No
PH20250826145026193|||3032|1992-01-01|2001-01-01|No
PH20250826145026193|||3032|2002-01-01|2003-01-01|No
PH20250826145026193|||3032|2013-01-01|2014-01-01|No
PH20250826195719032|Bachelor's Degree|Bachelor of Commerce (B Com)|3611|||No
PH20250826195719032|High School Diploma/GED|Humanities|3032|||No
PH20250826195719032|||3032|||No
PH20250827180814789|High School Diploma/GED|PCM|3032|||No
PH20250827180814789|||3032|||No
PH20250829164437261|Bachelor's Degree|Botany|4768|1998-10-21|2002-06-30|No
PH20250829164437261|Master's Degree|Soil Science |4768|2002-09-01|2004-08-31|No
PH20250829211923765|High School Diploma/GED|Humanities|3032|2011-07-10|2013-03-25|No
PH20250829211923765|High School Diploma/GED|SSC / 10th Std|3032|2010-06-15|2011-03-10|No
PH20250829232200280|Associate's Degree/College Diploma|Library and Information Science|3032|||No
PH20250829232200280|Bachelor's Degree|Economics|3032|||No
PH20250901120839996|Bachelor's Degree|Accounting and Finance|4678|2016-05-11|2019-06-20|No
PH20250901120839996|||22427|||No
PH20250908105329922|Bachelor's Degree|Bachelor of Commerce (B Com)|3032|||No
PH20250909080240892|High School Diploma/GED|PCB|3585|||No
PH20250909080240892|High School Diploma/GED|SSC / 10th Std|3032|||No
PH20250909080240892|||3032|||No
PH20250909102451087|Bachelor's Degree|Bachelor of Commerce (B Com)|3032|||No
PH20250909143223148|Bachelor's Degree|Bachelor of Commerce (B Com)|3029|2006-01-01|2018-07-09|No
PH20250909143223148|Bachelor's Degree|Bachelor of Commerce (B Com)|3029|2014-01-01|2020-10-30|No
PH20250909143223148|Bachelor's Degree|Bachelor of Commerce (B Com)|14469|2014-01-01|2020-10-30|No
PH20250909143223148|High School Diploma/GED|10th|20631|2009-01-01|2010-12-31|No
PH20250909174613723|Bachelor's Degree|History                                                  ||||No
PH20250909174613723||||||No
PH20250911113510058|Bachelor's Degree|Management|3032|||No
PH20250911113510058|High School Diploma/GED|PCB|3032|||No
PH20250911114835835|Bachelor's Degree|Bachelor of Commerce (B Com)|3032|2018-05-16|2021-06-16|No
PH20250911114835835|||3032|||No
PH20250912002424116|Associate's Degree/College Diploma|Web Designing|3684|||No
PH20250912002424116|||22044|||No
PH20250912103514341|Bachelor's Degree|Taxation|3246||2001-07-02|No
PH20250912103514341|Bachelor's Degree|Taxation Law|3430||2004-06-16|No
PH20250912103514341|Master's Degree|Post Graduate Diploma in Business Administration (PGDBA)|3430||2007-06-13|No
PH20250919021759954|Bachelor's Degree|Bachelor of Business Administration (BBA)|24233|2022-04-08|2024-08-20|No
PH20250919021759954|High School Diploma/GED|PCB|3637|2020-03-10|2021-01-22|No
PH20250920142332355|Bachelor's Degree|Mathematics|3527|2008-06-02|2011-03-31|No
PH20250920142332355|Master's Degree|Marketing Management|3519|2011-06-02|2013-05-30|No
PH20250922190520965|Bachelor's Degree|Accounting Application|3032|2020-09-01|2023-05-01|No
PH20250922190520965|||3032|||No
PH20250926145058631|Associate's Degree/College Diploma|Web Designing|25766|2013-06-01|2014-07-31|No
PH20250926145058631||||||No
PH20250927120429781|Bachelor's Degree|Bachelor of Commerce (B Com)|3804|2019-03-01|2021-03-05|No
PH20250927120429781|Bachelor's Degree|Bachelor of Commerce (B Com)|3804|||No
PH20250927120429781|Bachelor's Degree|Bachelor of Commerce (B Com)|24454|||No
PH20250929122644971|High School Diploma/GED|10th|22764|2013-03-12|2014-03-17|No
PH20250929122644971|High School Diploma/GED|Humanities|22490|2015-06-16|2016-05-24|No
PH20251007144030528|High School Diploma/GED|Humanities|3032|||No
PH20251007144030528|||3032|||No
PH20251007144030528||||||No
PH20251007151146838|Master's Degree|Finance|3029||2021-05-28|No
PH20251009105742907|Master's Degree|Human Resource|19808|2020-06-02|2022-07-03|No
PH20251011120618889|Master's Degree|Industrial Biotechnology|23525|2012-07-02|2014-06-28|No
